,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
119,Dudley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,319,523.01","9,278,092.03",0.00,"9,278,092.03",0,0,0,0
120,East Bridgewater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,752,961.98","7,011,847.92",0.00,"7,011,847.92",0,0,0,0
121,East Longmeadow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,401,825.06","13,607,300.26",0.00,"13,607,300.26",0,0,0,0
122,East Brookfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"527,931.10","2,111,724.38",0.00,"2,111,724.38",0,0,0,0
123,Edgartown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,045,361.59","4,181,446.37",0.00,"4,181,446.37",0,0,0,0
124,Easton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,923,756.36","15,695,025.46",0.00,"15,695,025.46",0,0,0,0
125,Eastham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,346,867.28","5,387,469.12",0.00,"5,387,469.12",0,0,0,0
126,Easthampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,704,696.37","10,818,785.47",0.00,"10,818,785.47",0,0,0,0
127,Fairhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,574,313.24","10,297,252.94",0.00,"10,297,252.94",0,0,0,0
128,Everett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,905,172.90","7,620,691.58",0.00,"7,620,691.58",0,0,0,0
129,Egremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"832,812.82","3,331,251.26",0.00,"3,331,251.26",0,0,0,0
130,Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"550,288.60","2,201,154.38",0.00,"2,201,154.38",0,0,0,0
131,Erving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"451,265.10","1,805,060.40",0.00,"1,805,060.40",0,0,0,0
132,Fall River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,742,520.25","34,970,080.99",0.00,"34,970,080.99",0,0,0,0
133,Falmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,832,583.89","23,322,568.90","64,722.24","23,387,291.14",0,0,0,0
134,Fitchburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,027,812.08","24,111,248.30",0.00,"24,111,248.30",0,0,0,0
135,Framingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,817,013.34","31,268,053.34",0.00,"31,268,053.34",0,0,0,0
136,Foxborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,793,660.01","11,174,640.05",0.00,"11,174,640.05",0,0,0,0
137,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"814,257.84","3,257,031.36",0.00,"3,257,031.36",0,0,0,0
138,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,673,257.38","18,693,029.52",0.00,"18,693,029.52",0,0,0,0
139,Freetown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,219,972.83","8,879,891.33",0.00,"8,879,891.33",0,0,0,0
140,Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,366,388.34","13,465,553.38",0.00,"13,465,553.38",0,0,0,0
141,Gloucester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,622,717.90","10,490,871.60",0.00,"10,490,871.60",0,0,0,0
142,Gosnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,383.22","169,532.88",0.00,"169,532.88",0,0,0,0
143,Aquinnah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"219,807.72","879,230.88",0.00,"879,230.88",0,0,0,0
144,Georgetown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,600,961.74","6,403,846.94",0.00,"6,403,846.94",0,0,0,0
145,Gill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"871,736.45","3,486,945.79",0.00,"3,486,945.79",0,0,0,0
146,Great Barrington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,962,640.02","7,849,140.82","11,827.20","7,860,968.02",0,0,0,0
147,Grafton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,418,800.87","9,675,203.47",0.00,"9,675,203.47",0,0,0,0
148,Granville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,432,668.60","5,730,674.40",0.00,"5,730,674.40",0,0,0,0
149,Halifax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,512,989.28","6,051,957.12",0.00,"6,051,957.12",0,0,0,0
150,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,327,618.64","5,310,474.58",0.00,"5,310,474.58",0,0,0,0
151,Hadley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,810,252.49","7,241,009.95",0.00,"7,241,009.95",0,0,0,0
152,Groveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,086,516.95","4,346,067.79",0.00,"4,346,067.79",0,0,0,0
153,Granby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,630,943.42","6,523,773.70",0.00,"6,523,773.70",0,0,0,0
154,Goshen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"564,965.02","2,259,860.06",0.00,"2,259,860.06",0,0,0,0
155,Groton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,537,613.94","10,150,455.74",0.00,"10,150,455.74",0,0,0,0
156,Hanson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,855,342.37","7,421,369.47",0.00,"7,421,369.47",0,0,0,0
157,Hardwick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,818,362.83","7,273,451.33",0.00,"7,273,451.33",0,0,0,0
158,Harvard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,663,366.72","6,653,466.86",0.00,"6,653,466.86",0,0,0,0
159,Hanover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,783,461.43","11,133,845.71",0.00,"11,133,845.71",0,0,0,0
