,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential, city_roads_expected_annual_cost ,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
188,LEVERETT,,,,,,,,,,,,,,,2696797.747,3280110.768,0,3280110.768,,,,
189,LITTLETON,,,,,,,,,,,,,,,6219796.99,7565129.088,0,7565129.088,,,,
190,LINCOLN,,,,,,,,,,,,,,,4690683.008,5705270.208,0,5705270.208,,,,
191,LEYDEN,,,,,,,,,,,,,,,2119229.753,2577615.744,0,2577615.744,,,,
192,LYNN,,,,,,,,,,,,,,,19869797.08,24167602.27,0,24167602.27,,,,
193,LUNENBURG,,,,,,,,,,,,,,,7569256.597,9206474.64,0,9206474.64,,,,
194,LUDLOW,,,,,,,,,,,,,,,13769502.41,16747823.66,0,16747823.66,,,,
195,LYNNFIELD,,,,,,,,,,,,,,,7782048.301,9465292.848,0,9465292.848,,,,
196,MALDEN,,,,,,,,,,,,,,,11457219.86,13934672.93,19873.92,13954546.85,,,,
197,MANSFIELD,,,,,,,,,,,,,,,12892664.41,15680283.17,28607.04,15708890.21,,,,
198,MARBLEHEAD,,,,,,,,,,,,,,,7910695.456,9621766.176,0,9621766.176,,,,
199,MANCHESTER,,,,,,,,,,,,,,,2312384.762,2812549.872,0,2812549.872,,,,
200,MASHPEE,,,,,,,,,,,,,,,9496466.088,11550536.45,0,11550536.45,,,,
201,MARSHFIELD,,,,,,,,,,,,,,,13271355.05,16141927.82,0,16141927.82,,,,
202,MEDFORD,,,,,,,,,,,,,,,11700443.36,14231230.46,0,14231230.46,,,,
203,MAYNARD,,,,,,,,,,,,,,,3701276.206,4501856.304,0,4501856.304,,,,
204,MEDFIELD,,,,,,,,,,,,,,,7736954.012,9410444.736,0,9410444.736,,,,
205,MATTAPOISETT,,,,,,,,,,,,,,,3713613.876,4516862.592,0,4516862.592,,,,
206,SANDISFIELD,,,,,,,,,,,,,,,5010183.988,6093878.736,0,6093878.736,,,,
207,MELROSE,,,,,,,,,,,,,,,7577277.971,9216231.024,0,9216231.024,,,,
208,METHUEN,,,,,,,,,,,,,,,18301788.25,22260435.65,0,22260435.65,,,,
209,MENDON,,,,,,,,,,,,,,,5216297.87,6344574.72,0,6344574.72,,,,
210,MERRIMAC,,,,,,,,,,,,,,,3471001.832,4221773.952,0,4221773.952,,,,
211,NEW BEDFORD,,,,,,,,,,,,,,,33698975.9,40987501.63,13939.2,41001440.83,,,,
212,MONTAGUE,,,,,,,,,,,,,,,10228760.47,12441224.93,0,12441224.93,,,,
213,NATICK,,,,,,,,,,,,,,,13770770.86,16749366.48,0,16749366.48,,,,
